Gene	RC1A	RC1B	RC2A	RC2B	RC3A	RC3B	RC4A	RC4B	RH1A	RH1B	RH2A	RH2B	RH3A	RH3B	RH4A	RH4B	YC0A	YC0B	YC1A	YC1B	YC2A	YC2B	YC3A	YC3B	YC4A	YC4B	YH1A	YH1B	YH2A	YH2B	YH3A	YH3B	YH4A	YH4B	YM9A	YM9B
CNAG_00600	7.37099	14.0936	23.6864	41.3189	29.039	43.9855	42.3146	49.0912	9.48742	25.047	25.3308	36.8388	20.5403	43.0834	17.6707	41.6548	7.06233	6.07458	16.0556	18.1519	52.5161	43.0436	61.1874	65.8909	57.0042	51.2308	27.1892	31.1944	70.1611	54.0578	51.5996	65.9425	56.2456	50.4864	44.5779	54.9278
CNAG_00601	23.1806	35.4874	64.6045	58.4469	53.613	54.8049	67.7709	42.9394	23.25	28.2723	56.3687	56.3315	28.9753	33.8609	16.4646	43.5654	5.56807	20.2056	76.5792	45.6103	31.7926	24.4453	13.4358	5.16168	12.0394	7.3198	43.7042	36.2621	22.3531	6.97114	12.267	11.5118	14.7028	22.0143	10.1631	10.2122
CNAG_00602	16.3483	48.986	37.122	41.6824	43.2525	39.0735	27.0533	31.2641	7.02256	37.511	24.5409	26.5012	6.14998	26.7436	7.60913	31.4241	17.6077	5.50371	44.9719	42.7933	107.295	94.5587	96.1006	97.2028	102.272	86.5837	74.8137	82.3136	59.7169	67.7848	70.993	77.961	72.1729	50.9417	68.8886	104.936
CNAG_00603	57.4801	89.7431	35.2914	48.5968	38.2919	41.2046	28.2293	19.0044	4.80246	32.6441	13.164	12.5974	13.819	25.7544	4.96311	9.54973	10.56	6.0952	93.6962	80.1846	151.058	136.44	128.577	146.068	92.0529	84.8268	123.943	102.928	82.965	69.7624	54.7621	60.4832	57.2069	43.0252	55.6704	82.3349
CNAG_00604	8.19781	9.19153	8.9969	13.2376	12.065	12.2431	15.2914	9.85526	2.23904	8.70953	4.33002	9.22268	2.6961	5.90253	2.21997	8.11252	8.8812	4.43987	24.2879	35.3007	27.6254	34.2151	25.4028	23.541	11.6756	9.74442	19.2942	21.2632	7.15462	7.2458	8.97796	3.53728	6.19921	9.16149	15.3336	12.4501
CNAG_00605	24.5711	62.5226	14.8696	39.3005	4.42494	9.12657	2.3841	0.896001	16.3771	41.7295	11.4627	38.256	5.64993	19.5184	7.16938	30.5086	14.922	81.286	51.8676	80.4389	25.3111	23.7297	4.88994	2.66311	5.80745	4.9618	31.8912	42.2215	38.7548	31.1685	21.5631	48.1784	42.0815	27.9768	1.74639	5.11132
CNAG_00606	5.46129	3.52575	7.13558	7.34574	4.48516	5.01736	7.63447	7.54452	2.67527	7.85596	8.41554	9.24558	1.80216	7.34772	4.15247	12.7571	7.46872	2.95373	9.4889	5.40914	9.56659	10.8758	5.83763	8.38862	8.28271	11.4156	14.3106	14.8032	11.9508	9.3059	8.70274	12.0402	10.2613	17.323	10.124	9.40651
CNAG_00607	18.308	21.0249	13.4584	19.3532	15.5552	12.0937	10.6035	8.03111	8.02028	11.6401	7.25404	7.68643	4.84387	3.42974	5.78308	6.16444	2.0244	0.996884	15.548	14.5287	32.4813	19.0332	36.9745	26.4869	24.3442	25.1294	24.0039	20.4491	36.3489	30.7312	21.1118	25.0408	19.931	22.3193	23.1915	21.8418
CNAG_00608	22.4587	11.9788	22.2497	46.0378	27.4054	36.3826	44.3487	39.0856	11.8926	26.7151	38.65	53.849	17.6236	27.9197	8.61907	24.9746	14.4965	6.18886	30.7521	18.0153	66.4999	62.0525	105.531	100.6	91.9503	74.8552	33.2837	24.6261	111.066	88.6283	84.371	103.509	73.0174	79.3728	76.5231	96.3068
CNAG_00609	14.0517	37.3249	7.38603	13.0297	7.98616	9.70392	3.85533	5.79477	4.06871	22.3268	3.40021	6.18909	2.29054	4.62316	2.72137	2.23911	5.23629	6.33682	21.5317	28.8454	15.0643	15.0314	18.5892	13.417	10.6412	11.5007	21.743	25.3077	18.8928	21.5054	18.8114	13.273	10.8039	7.77175	9.0532	11.9114
CNAG_00612	4.60382	4.45615	10.2944	14.3446	5.424	10.2131	10.6159	8.6286	4.17718	7.25554	10.8358	8.32266	3.50565	6.62163	7.02224	14.4067	6.29313	2.4931	12.3968	13.6758	13.2879	14.5808	9.83115	5.65084	5.8256	8.44957	13.6417	17.8442	9.45113	10.7097	8.24081	9.42341	9.28309	10.4698	8.52912	10.0212
CNAG_00613	42.8413	10.7599	19.2897	54.3006	33.5384	41.153	24.0014	16.3385	0	11.0537	30.7354	27.0693	20.2235	7.56569	1.97588	1.6869	7.5977	1.05021	33.5167	39.5197	94.8585	68.2552	79.4383	89.121	95.2599	48.4248	23.2944	17.844	48.9727	26.6768	35.9224	9.71803	25.1915	17.6082	34.8933	99.9798
CNAG_00614	30.409	21.0794	20.221800000000002	6.80804	10.8139	8.36848	16.2468	11.1243	22.5864	21.406	23.1094	12.548	11.6352	13.9686	23.3424	13.542	18.742	8.71326	37.1733	41.8561	36.8042	34.7058	12.9908	16.3112	13.7869	14.7106	59.4864	60.3314	45.9054	32.4337	25.3256	30.3922	16.0517	20.8006	8.51332	16.2265
CNAG_00615	8.18245	4.50843	17.4266	24.087	14.6293	15.3858	29.475	22.8444	13.9978	9.31204	24.5175	22.709	6.12658	11.1394	8.46976	22.724	6.36578	5.34685	4.2966	2.9606	6.3137	7.4739	6.35485	9.23228	12.4156	6.50454	5.29345	4.39395	2.29771	2.02427	14.4273	19.0354	21.5889	46.8824	6.73249	12.6622
CNAG_00619	1.61931	1.46836	11.2638	6.40637	9.56354	7.11101	9.31111	8.22054	4.17749	9.29698	8.2004	7.43062	4.75592	2.10269	3.31716	11.7988	4.14705	3.34304	2.05498	2.13324	12.029	6.28459	18.024	9.41995	13.3951	9.69631	5.92988	3.97013	13.889	7.78339	10.4306	8.93391	8.44592	17.6842	11.6434	17.4937
CNAG_00622	8.9532	9.73185	10.3197	22.5962	18.7134	21.6954	22.4805	15.4836	4.53681	28.9352	22.6066	23.5458	6.418	19.1851	9.81956	19.9743	14.6019	3.79143	10.7633	11.0909	31.4911	25.2532	50.7435	27.1971	32.865	25.751	18.2204	9.15417	48.7084	50.4421	31.2502	48.1451	34.2401	28.4712	73.5264	100.979
CNAG_00623	1.26423	1.37106	5.8427	6.39048	2.61682	3.92633	6.3783	6.28694	0.800783	1.45494	6.84295	10.8271	1.75317	2.46342	4.32794	7.9738	5.32465	2.15431	5.40692	2.99208	1.39483	0.834632	7.29583	2.23169	2.95544	2.00876	2.88714	0.396062	3.99459	2.41226	6.04214	5.8529	6.43179	3.88574	6.10885	4.51358
CNAG_00624	6.69894	2.28589	4.20253	6.19802	5.70779	8.66663	6.83007	7.55364	2.53313	5.99555	6.92696	7.47659	4.43679	13.8576	0.915865	27.7681	14.525	4.6723	4.28962	7.53636	20.4269	16.8493	15.0042	15.0245	8.94361	12.9401	17.6677	9.74105	10.7208	23.3278	28.1263	16.6492	15.1402	23.3406	15.8773	15.3025
CNAG_00625	9.04585	3.22837	14.6713	10.3568	8.25682	9.96398	13.6983	12.2748	9.56253	16.1785	16.8916	25.1879	7.0482	14.4335	11.0723	18.8281	14.0579	6.29722	4.97827	8.75993	11.4554	11.4919	13.1708	8.367	11.0436	12.1184	14.2316	10.8122	20.6104	14.8765	16.0609	22.6692	18.258	20.2633	9.71715	10.9895
CNAG_00626	94.9085	78.6743	121.301	100.358	73.3709	98.0999	109.994	81.5176	90.7181	291.192	137.902	225.994	89.2741	192.675	73.857	182.62	106.55	95.7913	118.274	148.81	46.7116	46.2645	20.5491	25.3042	42.3378	33.9048	145.352	196.56	77.9084	133.181	94.2248	217.681	141.664	134.226	59.0173	52.8743
CNAG_00627	1.12107	1.14018	3.64173	0	1.93265	1.71447	1.04244	0.774478	2.87847	7.25573	2.07961	2.94437	1.16343	4.64183	0.797933	2.20925	6.97744	3.02219	1.76423	0.804167	0.773779	0.617223	0	0.476078	0.226129	0.424531	1.60133	0.585701	0	0	1.17325	0.463451	0.310281	0.47902	0.376347	0.385273
CNAG_00628	10.0612	6.79967	41.8509	42.4047	45.824	33.9103	30.5818	17.2359	0	13.756	16.0201	16.0938	18.6362	14.0925	31.5257	16.6023	9.78565	12.418	47.8436	97.7884	163.82	114.308	64.6632	36.8407	20.0093	42.6241	58.929	81.6373	54.1506	50.0132	33.7155	24.9071	22.5382	27.6897	49.7248	24.9433
CNAG_00632	25.8928	55.0513	70.4393	46.7515	102.839	109.433	136.067	151.827	11.0856	76.2716	77.4554	118.892	26.6898	106.36	36.2713	125.864	34.9831	25.7389	44.8826	48.3636	69.9663	66.4347	84.6665	95.4823	135.703	135.941	57.4676	41.8851	114.005	104.287	120.556	195.471	147.765	162.277	109.896	101.446
